,training_data,training_labels,testing_data,testing_labels
0,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0260_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0260_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN037.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN037.png
1,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN136.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN136.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0598_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0598_1.png
2,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0388_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0388_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0352_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0352_1.png
3,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN035.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN035.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0257_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0257_0.png
4,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0531_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0531_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN006.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN006.png
5,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0084_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0084_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0650_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0650_1.png
6,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN060.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN060.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN053.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN053.png
7,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0275_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0275_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN049.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN049.png
8,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN070.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN070.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0040_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0040_0.png
9,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0320_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0320_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0289_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0289_0.png
